Type,Start,End
gene,87250,97094
UTR,87672,87709
exon,87672,87767
transcript,87672,97094
start_codon,87710,87712
CDS,87710,87767
CDS,96005,96414
exon,96005,97094
stop_codon,96415,96417
UTR,96415,97094
UTR,142590,142628
exon,142590,142686
gene,142590,145751
transcript,142590,145751
start_codon,142629,142631
CDS,142629,142686
CDS,145415,145689
exon,145415,145751
stop_codon,145690,145692
UTR,145690,145751
UTR,157454,157544
exon,157454,157593
gene,157454,159163
transcript,157454,159163
start_codon,157545,157547
CDS,157545,157593
CDS,158774,159021
exon,158774,159163
stop_codon,159022,159024
UTR,159022,159163
UTR,187853,187888
exon,187853,188118
gene,187853,189711
transcript,187853,189711
stop_codon,187886,187888
CDS,187889,188118
CDS,189575,189623
exon,189575,189711
start_codon,189621,189623
UTR,189624,189711
UTR,227258,227288
exon,227258,227346
gene,227258,229886
transcript,227258,229886
start_codon,227289,227291
CDS,227289,227346
CDS,229278,229768
exon,229278,229886
stop_codon,229769,229771
UTR,229769,229886
UTR,257724,257778
exon,257724,257836
gene,257724,261096
transcript,257724,261096
start_codon,257779,257781
CDS,257779,257836
CDS,259077,259303
exon,259077,261096
stop_codon,259304,259306
UTR,259304,261096
gene,267186,268857
transcript,267186,268857
exon,267186,268857
UTR,270863,271209
UTR,270863,271209
UTR,270863,271209
exon,270863,271267
exon,270863,271267
exon,270863,271267
transcript,270863,290429
transcript,270863,290750
gene,270863,290778
transcript,270863,290778
stop_codon,271207,271209
stop_codon,271207,271209
stop_codon,271207,271209
CDS,271210,271267
CDS,271210,271267
CDS,271210,271267
exon,275968,276086
CDS,275968,276086
exon,275968,276086
CDS,275968,276086
exon,275968,276086
CDS,275968,276086
exon,276793,276879
CDS,276793,276879
exon,276793,276879
CDS,276793,276879
exon,276793,276879
CDS,276793,276879
exon,277044,277145
CDS,277044,277145
exon,277044,277145
CDS,277044,277145
exon,277044,277145
CDS,277044,277145
exon,277226,277383
CDS,277226,277383
exon,277226,277383
CDS,277226,277383
exon,277226,277383
CDS,277226,277383
exon,278330,278429
CDS,278330,278429
exon,278330,278429
CDS,278330,278429
exon,278330,278429
CDS,278330,278429
exon,279172,279330
CDS,279172,279330
exon,279172,279330
CDS,279172,279330
exon,279172,279330
CDS,279172,279330
exon,283963,284081
CDS,283963,284081
exon,283963,284081
CDS,283963,284081
exon,283963,284081
CDS,283963,284081
exon,289559,289676
CDS,289559,289676
exon,289559,289676
CDS,289559,289676
exon,290259,290307
CDS,290259,290307
exon,290259,290307
CDS,290259,290307
CDS,290259,290340
exon,290259,290429
start_codon,290338,290340
UTR,290341,290429
CDS,290587,290603
exon,290587,290778
CDS,290591,290610
exon,290591,290750
start_codon,290601,290603
UTR,290604,290778
start_codon,290608,290610
UTR,290611,290750
UTR,297570,297586
gene,297570,300321
transcript,297570,300321
exon,297570,300321
start_codon,297587,297589
CDS,297587,298795
stop_codon,298796,298798
UTR,298796,300321
exon,311731,311855
gene,311731,313237
transcript,311731,313237
exon,312734,313237
exon,316860,320781
transcript,316860,324461
gene,316860,348490
exon,320366,322565
transcript,320366,348490
exon,322378,322565
exon,324368,324461
UTR,325552,325924
gene,325552,330224
transcript,325552,330224
exon,325552,330224
start_codon,325925,325927
CDS,325925,326869
stop_codon,326870,326872
UTR,326870,330224
gene,346782,359660
exon,347024,347142
UTR,347024,347142
transcript,347024,354868
exon,347111,347142
UTR,347111,347142
transcript,347111,354862
exon,347120,347142
UTR,347120,347142
transcript,347120,359405
exon,347434,347512
UTR,347434,347512
exon,348271,348490
exon,349249,349363
UTR,349249,349363
exon,349249,349363
UTR,349249,349363
exon,349249,349363
UTR,349249,349363
exon,349249,349363
UTR,349249,349363
transcript,349249,359660
UTR,349633,349643
exon,349633,349832
transcript,349633,354861
UTR,349638,349643
UTR,349638,349643
UTR,349638,349643
UTR,349638,349643
exon,349638,349832
exon,349638,349832
exon,349638,349832
exon,349638,349832
start_codon,349644,349646
start_codon,349644,349646
start_codon,349644,349646
start_codon,349644,349646
start_codon,349644,349646
CDS,349644,349832
CDS,349644,349832
CDS,349644,349832
CDS,349644,349832
CDS,349644,349832
CDS,353210,353632
CDS,353210,353632
CDS,353210,353632
exon,353210,354861
exon,353210,354862
exon,353210,354868
stop_codon,353633,353635
stop_codon,353633,353635
stop_codon,353633,353635
UTR,353633,354861
UTR,353633,354862
UTR,353633,354868
CDS,355326,355331
exon,355326,355349
stop_codon,355332,355334
UTR,355332,355349
CDS,359259,359315
exon,359259,359405
UTR,359259,359405
exon,359259,359660
stop_codon,359316,359318
UTR,359316,359660
gene,362835,397559
exon,380760,381169
UTR,380760,381169
transcript,380760,397559
exon,381297,381500
UTR,381297,381500
transcript,381297,396748
UTR,382433,382545
exon,382433,382626
start_codon,382546,382548
CDS,382546,382626
start_codon,388011,388013
exon,388011,388301
CDS,388011,388301
exon,388011,388301
CDS,388011,388301
exon,391287,391579
CDS,391287,391579
exon,391287,391579
CDS,391287,391579
CDS,396198,396687
CDS,396198,396687
exon,396198,396748
exon,396198,397559
stop_codon,396688,396690
stop_codon,396688,396690
UTR,396688,396748
UTR,396688,397559
gene,407498,432139
exon,408065,408779
UTR,408065,408779
transcript,408065,430964
UTR,408078,408757
exon,408078,408779
transcript,408078,410764
UTR,408171,408738
exon,408171,408779
transcript,408171,430966
UTR,408299,408757
exon,408299,408779
transcript,408299,432139
exon,408313,408779
